CODE_LEG_S;NEW_CODE
1;AgSa
2;AgSa
3;AgSa
11;AgSa
21;AgSa
41;AgSa
51;AgSa
101;AgSa
141;AgSa
161;AgSa
241;AgSa
301;AgSa
401;AgSa
411;AgSa
421;AgSa
481;AgSa
501;AgSa
601;AgSa
621;Smes
761;Smes
801;Smes
901;Smes
911;Smes
931;Smes
1061;Smes
1071;Smes
1101;SGP
1181;SGP
1183;V
1241;SGP
1261;SGP
1301;Ghe
1321;Ghe
1324;Ghe
1325;Ghe
1326;Ghe
1327;Ghe
1331;Ghe
1332;Ghe
1341;Ghe
1343;Ghe
1345;Ghe
1346;Ghe
1347;Ghe
1371;Ghe
1372;Ghe
1373;Ghe
1374;Ghe
1381;SGP
1386;V
1387;V
1421;Ghe
1424;Ghe
1425;Ghe
1426;Ghe
1427;Ghe
1428;Ghe
1441;Ghe
1443;Ghe
1444;Ghe
1445;Ghe
1471;Ghe
1473;Ghe
1474;Ghe
1481;SGP
1483;V
1484;V
1501;SGP
1503;V
1511;SGP
1521;Ghe
1524;Ghe
1525;Ghe
1527;Ghe
1531;Ghe
1532;Ghe
1561;SGP
1591;SGP
1621;SGP
1623;V
1631;SGP
1641;SGP
1642;V
1651;SGP
1661;SGP
1681;SGP
1682;SGP
1683;V
1701;SGP
1702;SGP
1703;V
1711;SGP
1721;SGP
1724;Mpal
1725;V
1731;SGP
1732;V
1741;SGP
1742;V
1743;V
1744;V
1751;SGP
1781;Mpal
1801;Ghe
1804;Ghe
1821;Ghe
1841;SGP
1842;SGP
1843;V
1845;V
1851;SGP
1861;SGP
1862;SGP
1863;V
1871;SGP
1873;SGP
1901;Mpal
1961;Ghe
1962;Ghe
1963;Ghe
1964;Ghe
1965;Ghe
1967;Ghe
1971;Ghe
1972;Ghe
1981;Mpal
1982;Ghe
2011;Mpal
2021;Sbrio
2041;Sbrio
2042;V
2051;Sbrio
2052;V
2061;Gca
2062;Gca
2063;Gca
2064;Gca
2065;Gca
2081;MPrPal
2101;Sbrio
2102;V
2103;V
2104;Mpr 
2105;Mpr
2106;V
2121;Gca
2122;Gca
2123;Gca
2124;Gca
2125;Gca
2141;Sbrio
2142;V
2151;Sbrio
2152;V
2153;Mpr
2155;V
2161;Gca
2191;Gca
2192;Gca
2193;Gca
2196;Gca
2201;Sbrio
2211;Sbrio
2221;Sbrio
2222;V
2301;Mpr
2311;Mpal
2381;Mpal
