X_WGS84;Y_WGS84;Identifiant BSS;Ancien code national BSS;Nom
-3.250335027;48.74139107;BSS000QVLD;02034X0082/PZ;Pommerit-Jaudy
-3.0287928;48.60693952;BSS000QXSM;02047X0072/PZ;Goudelin
-4.65712922;48.4825359;BSS000SXEA;02385X0046/PZ;Plourin
-4.350352101000001;48.45915558;BSS000SYKG;02388X0060/F1;St-Divy
-4.050083026000001;48.5360882;BSS000SZAF;02394X0019/F;Plouvorn
-4.230614112;48.44132395;BSS000SZLF;02396X0030/PZ;Pencran
-3.687563149;48.49425259;BSS000TASQ;02408X0016/F;Plougonven
-3.376492814;48.55169344;BSS000TBHG;02413X0065/PZ;Louargat
-2.853484946;48.53528074;BSS000TFHB;02431X0106/F;Trémuson
-2.418250465;48.52191616;BSS000TKJT;02442X0111/F;Quinténic
-2.078055415;48.59015287;BSS000TMEB;02451X0023/F;Pleurtuit
-1.762532861;48.46776914;BSS000TPNY;02465X0061/F;Bonnemain
-1.16245491;48.47169332;BSS000TREU;02478X0122/PZ;Louvigné-du-Desert
-1.162749207;48.47163961;BSS000TRGE;02478X0156/PZ;Louvigné-du-Desert
-3.948770772;48.40525514;BSS000VHWC;02761X0032/PZ;Commana
-3.147408099;48.40450382;BSS000VLAJ;02782X0047/PZ;Kerpert
-2.600929332;48.4098506;BSS000VNGX;02794X0063/PZ;Bréhand
-2.750078289;48.26521851;BSS000VNUM;02796X0044/PZ;Plouguenast
-2.287883343;48.34821635;BSS000VPUH;02803X0036/PZ;Trémeur
-2.008746301;48.34371795;BSS000VRCM;02812X0238/PZ;Le Quiou
-1.432951745;48.31383661;BSS000VUPU;02835X0055/PZ;Mézières-sur-Couesnon
-4.261522852;48.21976044;BSS000XCFF;03101X0023/PZ;Saint-Nic
-4.097904040000001;48.22803452;BSS000XCLK;03103X0047/PZ;St-Ségal
-4.074819942000001;48.08694231;BSS000XCWZ;03107X0008/F;Landrévarzec
-3.730178082;48.17305854;BSS000XDRF;03113X0031/F;Spézet
-3.606764965;48.18922004;BSS000XDRX;03114X0023/F;St-Hernin
-3.307177412;48.23120609;BSS000XFPD;03124X0088/F;Rostrenen
-3.276192963;48.08926572;BSS000XGDQ;03128X0011/F;Ploërdut
-2.978267016;48.08275863;BSS000XHUA;03137X0026/PZ;Pontivy
-2.420207485;48.19513746;BSS000XKNA;03152X0027/F;Merdrignac
-2.064609759;48.18673295;BSS000XLMM;03162X0049/PZ;Boisgervilly
-1.685069495;48.16555582;BSS000XMZQ;03172X0088/PZ;Saint-Grégoire
-1.723124195;48.06585815;BSS000XNZX;03175X0338/PZ;St-Jacques-de-la-Lande
-1.316624144;48.19608006;BSS000XTEY;03182X0027/PZ;Val-d'Izé
-4.335487966;48.00053022;BSS000ZCUJ;03454X0070/F;Landudec
-4.17645017;47.97330123;BSS000ZDJV;03462X0043/F;Pluguffan
-3.700965248;48.00391268;BSS000ZGDV;03473X0029/PZ;Scaër
-3.438425177;47.9405321;BSS000ZHUD;03486X0022/PZ;Guilligomarc'h
-3.032407561;48.0076765;BSS000ZJKX;03493X0013/F;Bieuzy
-2.728718884;47.88424735;BSS000ZLBJ;03506X0032/PZ;Bignan
-2.733114748;47.88956271;BSS000ZLCM;03506X0059/F;Bignan
-2.229005774;48.00399966;BSS000ZLUE;03514X0081/PZ;Paimpont
-2.228876987;48.00390561;BSS000ZLVF;03514X0106/F;Paimpont
-2.397366377;47.95087339;BSS000ZMBG;03516X0036/PZ;Ploërmel
-1.755365025;47.90413352;BSS000ZPHJ;03535X0043/PZ;Bourg-des-Comptes
-1.297289359;47.92721544;BSS000ZQXN;03546X0017/F;Arbrissel
-3.868654395;47.84158899;BSS001BCRS;03822X0021/F;Trégunc
-3.270288833;47.80493708;BSS001BEJX;03834X0049/PZ;Hennebont
-3.013942635;47.87010673;BSS001BFZQ;03843X0021/PZ;Baud
-2.817043293;47.79016106;BSS001BGUE;03851X0021/S2;Grandchamp
-2.360646754;47.81325201;BSS001BHVJ;03862X0057/PZ;Missiriac
-2.132246015;47.85573411;BSS001BJPJ;03871X0016/F;Guer
-1.505645803;47.81205023;BSS001BLSZ;03884X0021/TF1PR;
-1.76485137;47.78006317;BSS001BLWA;03885X0034/F;La Noë-Blanche
-2.621544948;47.64217536;BSS001DFNE;04173X0045/PZ;Theix
-2.206149523;47.68630748;BSS001DHAJ;04184X0035/F;St Jacut les Pins
-0.961018494;47.69586965;BSS001DMKM;04222X0108/PZ;Segré-En-Anjou Bleu
-2.626853854;47.64054839;BSS003DJYA;N/D;Theix-Noyalo
